DATE,MORTGAGE30US_NBD19710401
1971-04-01,100.00000
1971-05-01,101.57319
1971-06-01,103.00958
1971-07-01,104.02189
1971-08-01,105.30096
1971-09-01,105.16416
1971-10-01,104.35021
1971-11-01,103.28317
1971-12-01,102.32558
1972-01-01,101.74419
1972-02-01,100.20520
1972-03-01,99.83584
1972-04-01,99.72640
1972-05-01,100.85499
1972-06-01,100.84815
1972-07-01,101.16279
1972-08-01,101.23119
1972-09-01,101.50479
1972-10-01,101.50479
1972-11-01,101.60739
1972-12-01,101.80575
1973-01-01,101.74419
1973-02-01,101.77839
1973-03-01,102.02462
1973-04-01,103.18057
1973-05-01,104.68536
1973-06-01,105.80027
1973-07-01,110.12312
1973-08-01,116.22435
1973-09-01,120.58824
1973-10-01,119.97264
1973-11-01,117.40082
1973-12-01,116.79207
1974-01-01,116.82627
1974-02-01,115.66347
1974-03-01,114.99316
1974-04-01,117.40766
1974-05-01,122.73598
1974-06-01,124.28181
1974-07-01,126.94938
1974-08-01,131.13543
1974-09-01,136.21751
1974-10-01,136.49111
1974-11-01,133.89877
1974-12-01,131.53215
1975-01-01,129.02873
1975-02-01,124.55540
1975-03-01,121.78523
1975-04-01,120.65663
1975-05-01,121.83311
1975-06-01,121.64843
1975-07-01,121.61423
1975-08-01,122.32558
1975-09-01,124.89740
1975-10-01,126.18331
1975-11-01,125.10260
1975-12-01,124.45280
1976-01-01,123.33789
1976-02-01,120.55404
1976-03-01,119.76744
1976-04-01,119.42544
1976-05-01,119.90424
1976-06-01,121.03283
1976-07-01,122.21614
1976-08-01,123.11902
1976-09-01,122.81122
1976-10-01,122.16142
1976-11-01,120.55404
1976-12-01,120.27360
1977-01-01,119.32285
1977-02-01,118.60465
1977-03-01,118.84405
1977-04-01,119.72640
1977-05-01,120.75923
1977-06-01,121.16963
1977-07-01,122.32558
1977-08-01,122.29822
1977-09-01,121.69631
1977-10-01,122.05882
1977-11-01,122.05882
1977-12-01,122.57182
1978-01-01,123.32421
1978-02-01,125.10260
1978-03-01,125.88235
1978-04-01,127.97538
1978-05-01,130.95075
1978-06-01,132.80438
1978-07-01,133.24213
1978-08-01,133.85773
1978-09-01,133.46101
1978-10-01,134.84952
1978-11-01,138.26949
1978-12-01,141.53215
1979-01-01,142.13406
1979-02-01,142.37346
1979-03-01,142.62654
1979-04-01,143.60465
1979-05-01,146.23803
1979-06-01,150.97127
1979-07-01,151.74419
1979-08-01,151.76471
1979-09-01,154.58276
1979-10-01,159.19973
1979-11-01,175.51300
1979-12-01,176.47059
1980-01-01,176.16279
1980-02-01,178.38577
1980-03-01,209.06293
1980-04-01,223.32421
1980-05-01,195.10260
1980-06-01,173.87141
1980-07-01,166.79207
1980-08-01,171.81943
1980-09-01,180.54036
1980-10-01,188.67305
1980-11-01,194.32285
1980-12-01,202.32558
1981-01-01,203.88509
1981-02-01,207.01094
1981-03-01,210.67031
1981-04-01,213.13269
1981-05-01,224.37756
1981-06-01,228.38577
1981-07-01,230.25992
1981-08-01,236.45691
1981-09-01,248.42681
1981-10-01,252.44870
1981-11-01,243.84405
1981-12-01,231.81943
1982-01-01,239.19289
1982-02-01,240.73187
1982-03-01,234.74692
1982-04-01,231.08071
1982-05-01,228.14637
1982-06-01,228.41997
1982-07-01,230.04104
1982-08-01,222.57182
1982-09-01,211.08071
1982-10-01,199.83584
1982-11-01,189.12449
1982-12-01,186.37483
1983-01-01,181.22435
1983-02-01,178.41997
1983-03-01,175.10260
1983-04-01,174.85636
1983-05-01,172.81122
1983-06-01,176.06019
1983-07-01,183.61149
1983-08-01,188.91929
1983-09-01,187.77018
1983-10-01,185.15732
1983-11-01,183.78933
1983-12-01,183.58413
1984-01-01,182.86594
1984-02-01,181.01915
1984-03-01,183.11902
1984-04-01,186.76471
1984-05-01,190.73187
1984-06-01,197.20930
1984-07-01,200.64979
1984-08-01,197.94802
1984-09-01,196.30643
1984-10-01,193.29685
1984-11-01,186.56635
1984-12-01,180.30096
1985-01-01,178.86457
1985-02-01,176.74419
1985-03-01,180.16416
1985-04-01,180.50616
1985-05-01,176.66211
1985-06-01,167.09986
