DATE,SPCS10RPSNSA
1987-01-01,58585
1987-02-01,53102
1987-03-01,43500
1987-04-01,54405
1987-05-01,65151
1987-06-01,75404
1987-07-01,79674
1987-08-01,78243
1987-09-01,71561
1987-10-01,67331
1987-11-01,62712
1987-12-01,62345
1988-01-01,54027
1988-02-01,50368
1988-03-01,49050
1988-04-01,47646
1988-05-01,47812
1988-06-01,45428
1988-07-01,56035
1988-08-01,69183
1988-09-01,77637
1988-10-01,76992
1988-11-01,70304
1988-12-01,67141
1989-01-01,61212
1989-02-01,55123
1989-03-01,54042
1989-04-01,57441
1989-05-01,64106
1989-06-01,66115
1989-07-01,65600
1989-08-01,67885
1989-09-01,64483
1989-10-01,64067
1989-11-01,57895
1989-12-01,54805
1990-01-01,49250
1990-02-01,43694
1990-03-01,41419
1990-04-01,44015
1990-05-01,50288
1990-06-01,55014
1990-07-01,57179
1990-08-01,58531
1990-09-01,53141
1990-10-01,49556
1990-11-01,43137
1990-12-01,41110
1991-01-01,36251
1991-02-01,32201
1991-03-01,33193
1991-04-01,39620
1991-05-01,51111
1991-06-01,58800
1991-07-01,61579
1991-08-01,60061
1991-09-01,52714
1991-10-01,47925
1991-11-01,42118
1991-12-01,42394
1992-01-01,38863
1992-02-01,36087
1992-03-01,37161
1992-04-01,43524
1992-05-01,50494
1992-06-01,54890
1992-07-01,56292
1992-08-01,53912
1992-09-01,49612
1992-10-01,46209
1992-11-01,45088
1992-12-01,47085
1993-01-01,42737
1993-02-01,38273
1993-03-01,33695
1993-04-01,36875
1993-05-01,42563
1993-06-01,48915
1993-07-01,54944
1993-08-01,59655
1993-09-01,57851
1993-10-01,54090
1993-11-01,50042
1993-12-01,50987
1994-01-01,48074
1994-02-01,45048
1994-03-01,45963
1994-04-01,52045
1994-05-01,60401
1994-06-01,66078
1994-07-01,66883
1994-08-01,67149
1994-09-01,60877
1994-10-01,55722
1994-11-01,48949
1994-12-01,46725
1995-01-01,42116
1995-02-01,36873
1995-03-01,35481
1995-04-01,37136
1995-05-01,43782
1995-06-01,48688
1995-07-01,53968
1995-08-01,58830
1995-09-01,56390
1995-10-01,55636
1995-11-01,50061
1995-12-01,49098
1996-01-01,43934
1996-02-01,39731
1996-03-01,38436
1996-04-01,44530
1996-05-01,53324
1996-06-01,59454
1996-07-01,63725
1996-08-01,65311
1996-09-01,62066
1996-10-01,58294
1996-11-01,52057
1996-12-01,51161
1997-01-01,45523
1997-02-01,41670
1997-03-01,40571
1997-04-01,46461
1997-05-01,54311
1997-06-01,59738
1997-07-01,63906
1997-08-01,65921
1997-09-01,64066
1997-10-01,61274
1997-11-01,55339
1997-12-01,54566
1998-01-01,47425
1998-02-01,43443
1998-03-01,42051
1998-04-01,49036
1998-05-01,58042
1998-06-01,66276
1998-07-01,72380
1998-08-01,73472
1998-09-01,67988
1998-10-01,60919
1998-11-01,55042
1998-12-01,54822
1999-01-01,49406
1999-02-01,46365
1999-03-01,44959
1999-04-01,51473
1999-05-01,59100
1999-06-01,66711
1999-07-01,72181
1999-08-01,75787
1999-09-01,71962
1999-10-01,66124
1999-11-01,59207
1999-12-01,55785
2000-01-01,48862
2000-02-01,45328
2000-03-01,46403
2000-04-01,50872
2000-05-01,58826
2000-06-01,65095
2000-07-01,70335
2000-08-01,73726
2000-09-01,69872
2000-10-01,68288
2000-11-01,62191
2000-12-01,58619
2001-01-01,53281
2001-02-01,47606
2001-03-01,48829
2001-04-01,52831
2001-05-01,62942
2001-06-01,70026
2001-07-01,78266
2001-08-01,84056
2001-09-01,78338
2001-10-01,72475
2001-11-01,60718
2001-12-01,58342
2002-01-01,54614
2002-02-01,53131
2002-03-01,56757
2002-04-01,62959
2002-05-01,73710
2002-06-01,79184
2002-07-01,85481
2002-08-01,87137
2002-09-01,81860
2002-10-01,76298
2002-11-01,67197
2002-12-01,67074
2003-01-01,61699
2003-02-01,58759
2003-03-01,58058
2003-04-01,62432
2003-05-01,72522
2003-06-01,79772
2003-07-01,89450
2003-08-01,95034
2003-09-01,97209
2003-10-01,93653
2003-11-01,83935
2003-12-01,79205
2004-01-01,70134
2004-02-01,66440
2004-03-01,68032
2004-04-01,74521
2004-05-01,86369
2004-06-01,95612
2004-07-01,106058
2004-08-01,111099
2004-09-01,104451
2004-10-01,95863
2004-11-01,87986
2004-12-01,85585
2005-01-01,79060
2005-02-01,71432
2005-03-01,72180
2005-04-01,78882
2005-05-01,89942
2005-06-01,98606
2005-07-01,103497
2005-08-01,110261
2005-09-01,105485
2005-10-01,99810
2005-11-01,88955
2005-12-01,82517
2006-01-01,74383
2006-02-01,65657
2006-03-01,65130
2006-04-01,68413
2006-05-01,78527
2006-06-01,83967
2006-07-01,86957
2006-08-01,84398
2006-09-01,76090
2006-10-01,72197
2006-11-01,67245
2006-12-01,64888
2007-01-01,60342
2007-02-01,54881
2007-03-01,54650
2007-04-01,55123
2007-05-01,60749
2007-06-01,62612
2007-07-01,65018
2007-08-01,65795
2007-09-01,58733
2007-10-01,51798
2007-11-01,42329
2007-12-01,39214
2008-01-01,34788
2008-02-01,31804
2008-03-01,31392
2008-04-01,35228
2008-05-01,41109
2008-06-01,47112
2008-07-01,52737
2008-08-01,55387
2008-09-01,54666
2008-10-01,51929
2008-11-01,45863
2008-12-01,42730
2009-01-01,36005
2009-02-01,33987
2009-03-01,33163
2009-04-01,36601
2009-05-01,41311
2009-06-01,46298
2009-07-01,52208
2009-08-01,55964
2009-09-01,54922
2009-10-01,52348
2009-11-01,49567
2009-12-01,49272
2010-01-01,43477
2010-02-01,36970
2010-03-01,35103
2010-04-01,39460
2010-05-01,47620
2010-06-01,53203
2010-07-01,54214
2010-08-01,52169
2010-09-01,45387
2010-10-01,41182
2010-11-01,37658
2010-12-01,37275
2011-01-01,35455
2011-02-01,33604
2011-03-01,33744
2011-04-01,36477
2011-05-01,41180
2011-06-01,45240
2011-07-01,47543
2011-08-01,49936
2011-09-01,46891
2011-10-01,44046
2011-11-01,39284
2011-12-01,37828
2012-01-01,35270
2012-02-01,32816
2012-03-01,32271
2012-04-01,35719
2012-05-01,42414
2012-06-01,48160
2012-07-01,51757
2012-08-01,53166
2012-09-01,48528
2012-10-01,46427
2012-11-01,42144
2012-12-01,42196
2013-01-01,38841
2013-02-01,35552
2013-03-01,35307
2013-04-01,39609
2013-05-01,48114
2013-06-01,55252
2013-07-01,61935
2013-08-01,64794
2013-09-01,62127
2013-10-01,57223
2013-11-01,49203
2013-12-01,46441
2014-01-01,40036
2014-02-01,36380
2014-03-01,45367
2014-04-01,53219
2014-05-01,63963
2014-06-01,73955
2014-07-01,80115
2014-08-01,80604
2014-09-01,74482
2014-10-01,68867
2014-11-01,60685
2014-12-01,57602
2015-01-01,49641
2015-02-01,47910
2015-03-01,50690
2015-04-01,61024
2015-05-01,72084
2015-06-01,83325
2015-07-01,90836
2015-08-01,92651
2015-09-01,84460
2015-10-01,75743
2015-11-01,66174
2015-12-01,62425
2016-01-01,54486
2016-02-01,52810
2016-03-01,54405
2016-04-01,64527
2016-05-01,77113
2016-06-01,89251
2016-07-01,93769
2016-08-01,95594
2016-09-01,86871
2016-10-01,80827
2016-11-01,71847
2016-12-01,67648
2017-01-01,60726
2017-02-01,55346
2017-03-01,59012
2017-04-01,68479
2017-05-01,83616
2017-06-01,94951
2017-07-01,99965
2017-08-01,100125
2017-09-01,88391
2017-10-01,82308
2017-11-01,72991
2017-12-01,68737
2018-01-01,60918
2018-02-01,55235
2018-03-01,58425
2018-04-01,67375
2018-05-01,80588
2018-06-01,89979
2018-07-01,94292
2018-08-01,93584
2018-09-01,82319
2018-10-01,75279
2018-11-01,66100
2018-12-01,61795
2019-01-01,53453
2019-02-01,48777
2019-03-01,52826
2019-04-01,64066
2019-05-01,79827
2019-06-01,90397
2019-07-01,96367
2019-08-01,94846
2019-09-01,87212
2019-10-01,80314
2019-11-01,71449
2019-12-01,67948
2020-01-01,59685
2020-02-01,56158
2020-03-01,57972
2020-04-01,60753
2020-05-01,62204
2020-06-01,67591
2020-07-01,82815
2020-08-01,99347
2020-09-01,106357
2020-10-01,106570
2020-11-01,101129
2020-12-01,95872
2021-01-01,82120
2021-02-01,73804
2021-03-01,74757
2021-04-01,86242
2021-05-01,98123
2021-06-01,107700
2021-07-01,111315
2021-08-01,112784
2021-09-01,103140
2021-10-01,96285
2021-11-01,89196
2021-12-01,84313
2022-01-01,73069
2022-02-01,64039
2022-03-01,64647
2022-04-01,73334
2022-05-01,83758
2022-06-01,87679
2022-07-01,85499
2022-08-01,81651
2022-09-01,72386
2022-10-01,65599
2022-11-01,55272
2022-12-01,47749
2023-01-01,40292
2023-02-01,36990
2023-03-01,39980
