DATE,CSUSHPINSA,EVACANTUSQ176N,GDP,MORTGAGE30US,MSACSR,MSPUS,PERMIT,TLRESCONS,UMCSENT
2002-01-01,116.437,14342,10783.5,6.9975000000000005,4.2,188700.0,1665.0,382979,93.0
2002-02-01,116.916,14342,10783.5,6.892499999999999,4.0,188700.0,1787.0,391434,90.7
2002-03-01,117.929,14342,10783.5,7.014,4.1,188700.0,1691.0,390942,95.7
2002-04-01,119.208,14207,10887.46,6.985,4.3,187200.0,1669.0,404255,93.0
2002-05-01,120.787,14207,10887.46,6.806,4.0,187200.0,1716.0,399164,96.9
2002-06-01,122.333,14207,10887.46,6.65,4.2,187200.0,1758.0,407305,92.4
2002-07-01,123.687,14383,10984.04,6.485,4.2,178100.0,1738.0,410171,88.1
2002-08-01,124.73,14383,10984.04,6.289999999999999,4.0,178100.0,1695.0,404055,87.6
2002-09-01,125.494,14383,10984.04,6.092499999999999,3.9,178100.0,1803.0,400059,86.1
2002-10-01,126.136,14591,11061.433,6.1125,4.0,190100.0,1799.0,402091,80.6
2002-11-01,126.642,14591,11061.433,6.068,4.0,190100.0,1771.0,406609,84.2
2002-12-01,127.151,14591,11061.433,6.0475,4.0,190100.0,1896.0,416844,86.7
2003-01-01,127.652,14908,11174.128999999999,5.9159999999999995,4.0,186000.0,1808.0,423049,82.4
2003-02-01,128.326,14908,11174.128999999999,5.842499999999999,4.5,186000.0,1854.0,422705,79.9
2003-03-01,129.308,14908,11174.128999999999,5.745,4.1,186000.0,1757.0,418232,77.6
2003-04-01,130.488,15244,11312.766000000001,5.8125,4.1,191800.0,1803.0,425493,86.0
2003-05-01,131.839,15244,11312.766000000001,5.484,3.9,191800.0,1835.0,426270,92.1
2003-06-01,133.225,15244,11312.766000000001,5.23,3.5,191800.0,1875.0,436163,89.7
2003-07-01,134.64700000000002,15614,11566.669,5.6325,3.6,191900.0,1885.0,454040,90.9
2003-08-01,135.965,15614,11566.669,6.264,3.5,191900.0,1966.0,458676,89.3
2003-09-01,137.076,15614,11566.669,6.1475,3.8,191900.0,1961.0,463954,87.7
2003-10-01,137.976,15654,11772.233999999999,5.952,3.8,198800.0,2012.0,475234,89.6
2003-11-01,138.765,15654,11772.233999999999,5.932500000000001,4.1,198800.0,1918.0,490441,93.7
2003-12-01,139.628,15654,11772.233999999999,5.8759999999999994,4.0,198800.0,1987.0,508637,92.6
2004-01-01,140.705,15895,11923.447,5.7125,3.8,212700.0,1952.0,503659,103.8
