Date,Price Index,GDP,30-Year Rate Avg,Monthly Supply,Median Price,Permits,Sentiment Index
1987-01-01,63.734,4722.156,9.203999999999999,6.0,97900.0,1690.0,90.4
1987-02-01,64.134,4722.156,9.0825,6.2,97900.0,1689.0,90.2
1987-03-01,64.469,4722.156,9.035,6.0,97900.0,1704.0,90.8
1987-04-01,64.973,4806.16,9.8325,6.0,103400.0,1601.0,92.8
1987-05-01,65.547,4806.16,10.596,6.7,103400.0,1500.0,91.1
1987-06-01,66.218,4806.16,10.5375,6.9,103400.0,1522.0,91.5
1987-07-01,66.786,4884.555,10.278,6.7,106000.0,1516.0,93.7
1987-08-01,67.26899999999999,4884.555,10.33,6.8,106000.0,1511.0,94.4
1987-09-01,67.623,4884.555,10.8875,6.8,106000.0,1514.0,93.6
1987-10-01,67.90100000000001,5007.994000000001,11.26,6.8,111500.0,1447.0,89.3
1987-11-01,68.09100000000001,5007.994000000001,10.649999999999999,7.0,111500.0,1457.0,83.1
1987-12-01,68.342,5007.994000000001,10.639999999999999,7.6,111500.0,1345.0,86.8
1988-01-01,68.581,5073.372,10.3825,7.5,110000.0,1244.0,90.8
1988-02-01,68.914,5073.372,9.8925,6.6,110000.0,1438.0,91.6
1988-03-01,69.32300000000001,5073.372,9.930000000000001,6.6,110000.0,1525.0,94.6
1988-04-01,69.788,5190.036,10.202000000000002,6.4,110000.0,1429.0,91.2
1988-05-01,70.408,5190.036,10.455,6.6,110000.0,1444.0,94.8
1988-06-01,71.067,5190.036,10.459999999999999,6.2,110000.0,1485.0,94.7
1988-07-01,71.686,5282.835,10.432,6.6,115000.0,1439.0,93.4
1988-08-01,72.186,5282.835,10.5975,6.6,115000.0,1460.0,97.4
1988-09-01,72.574,5282.835,10.48,6.5,115000.0,1436.0,97.3
1988-10-01,72.822,5399.509,10.3025,6.0,113900.0,1516.0,94.1
1988-11-01,73.065,5399.509,10.265,7.2,113900.0,1508.0,93.0
1988-12-01,73.278,5399.509,10.612,6.8,113900.0,1501.0,91.9
1989-01-01,73.617,5511.253000000001,10.73,6.2,118000.0,1466.0,97.9
1989-02-01,73.968,5511.253000000001,10.645,7.5,118000.0,1383.0,95.4
