Date,Price Index,Monthly Supply,Permits,Sentiment Index,Construction,Housing Starts,Lumber Price Index,Pair Count,Mortgage Rate,Units Completed,Sales Price,Oil Price
1987-01-01,63.734,6.0,1690.0,90.4,1090.0,1774.0,108.1,58585,125.90971,1862.0,97900.0,18.65
1987-02-01,64.134,6.2,1689.0,90.2,1096.0,1784.0,109.4,53102,124.24761000000001,1771.0,97900.0,17.75
1987-03-01,64.469,6.0,1704.0,90.8,1084.0,1726.0,110.6,43500,123.59781000000001,1694.0,97900.0,18.3
1987-04-01,64.973,6.0,1601.0,92.8,1079.0,1614.0,110.7,54405,134.50752,1735.0,103400.0,18.68
1987-05-01,65.547,6.7,1500.0,91.1,1070.0,1628.0,110.7,65151,144.95212,1713.0,103400.0,19.44
1987-06-01,66.218,6.9,1522.0,91.5,1060.0,1594.0,111.4,75404,144.15185,1635.0,103400.0,20.07
1987-07-01,66.786,6.7,1516.0,93.7,1051.0,1575.0,112.4,79674,140.60192,1685.0,106000.0,21.34
1987-08-01,67.26899999999999,6.8,1511.0,94.4,1045.0,1605.0,113.7,78243,141.31327,1624.0,106000.0,20.31
1987-09-01,67.623,6.8,1514.0,93.6,1048.0,1695.0,116.2,71561,148.93981000000002,1587.0,106000.0,19.53
1987-10-01,67.90100000000001,6.8,1447.0,89.3,1041.0,1515.0,116.1,67331,154.03557,1577.0,111500.0,19.86
1987-11-01,68.09100000000001,7.0,1457.0,83.1,1042.0,1656.0,116.9,62712,145.69083,1578.0,111500.0,18.85
1987-12-01,68.342,7.6,1345.0,86.8,1018.0,1400.0,117.1,62345,145.55404,1632.0,111500.0,17.28
1988-01-01,68.581,7.5,1244.0,90.8,1008.0,1271.0,117.8,54027,142.03146,1554.0,110000.0,17.13
1988-02-01,68.914,6.6,1438.0,91.6,976.0,1473.0,118.4,50368,135.32832,1450.0,110000.0,16.8
1988-03-01,69.32300000000001,6.6,1525.0,94.6,994.0,1532.0,118.9,49050,135.84131000000002,1600.0,110000.0,16.2
1988-04-01,69.788,6.4,1429.0,91.2,999.0,1573.0,119.2,47646,139.56224,1615.0,110000.0,17.86
1988-05-01,70.408,6.6,1444.0,94.8,987.0,1421.0,119.1,47812,143.02326000000002,1483.0,110000.0,17.42
1988-06-01,71.067,6.2,1485.0,94.7,980.0,1478.0,119.3,45428,143.09166000000002,1512.0,110000.0,16.53
1988-07-01,71.686,6.6,1439.0,93.4,971.0,1467.0,120.0,56035,142.70862,1527.0,115000.0,15.5
1988-08-01,72.186,6.6,1460.0,97.4,967.0,1493.0,118.8,69183,144.97263999999998,1551.0,115000.0,15.52
1988-09-01,72.574,6.5,1436.0,97.3,958.0,1492.0,118.9,77637,143.36525,1531.0,115000.0,14.54
1988-10-01,72.822,6.0,1516.0,94.1,953.0,1522.0,118.7,76992,140.93707,1529.0,113900.0,13.77
1988-11-01,73.065,7.2,1508.0,93.0,960.0,1569.0,118.8,70304,140.42408,1407.0,113900.0,14.14
1988-12-01,73.278,6.8,1501.0,91.9,955.0,1563.0,119.0,67141,145.171,1547.0,113900.0,16.38
1989-01-01,73.617,6.2,1466.0,97.9,955.0,1621.0,120.1,61212,146.78523,1561.0,118000.0,18.02
1989-02-01,73.968,7.5,1383.0,95.4,947.0,1425.0,122.0,55123,145.62243999999998,1597.0,118000.0,17.94
1989-03-01,74.41,8.2,1214.0,94.3,940.0,1422.0,123.2,54042,150.91655,1442.0,118000.0,19.48
1989-04-01,74.868,7.4,1376.0,91.5,922.0,1339.0,125.2,57441,151.16279,1542.0,118900.0,21.07
1989-05-01,75.296,7.1,1381.0,90.7,913.0,1331.0,126.5,64106,147.36661999999998,1449.0,118900.0,20.12
1989-06-01,75.696,7.2,1322.0,90.6,913.0,1397.0,127.4,66115,139.48016,1346.0,118900.0,20.05
1989-07-01,76.042,6.1,1283.0,92.0,918.0,1427.0,128.9,65600,135.19152,1386.0,120000.0,19.78
1989-08-01,76.273,6.4,1334.0,89.6,901.0,1332.0,129.0,67885,136.59371000000002,1429.0,120000.0,18.58
1989-09-01,76.421,7.1,1314.0,95.8,895.0,1279.0,129.0,64483,138.52257,1338.0,120000.0,19.59
1989-10-01,76.488,6.9,1365.0,93.9,897.0,1410.0,130.9,64067,136.08071,1333.0,124800.0,20.1
1989-11-01,76.521,6.6,1344.0,90.9,882.0,1351.0,130.0,57895,133.61833000000001,1475.0,124800.0,19.86
1989-12-01,76.497,7.0,1422.0,90.5,885.0,1251.0,128.5,54805,133.29685,1304.0,124800.0,21.1
1990-01-01,76.527,7.0,1748.0,93.0,891.0,1551.0,129.0,49250,135.36252,1508.0,123900.0,22.86
1990-02-01,76.587,7.6,1329.0,89.5,898.0,1437.0,129.7,43694,139.50068000000002,1352.0,123900.0,22.11
1990-03-01,76.79,7.8,1246.0,91.3,885.0,1289.0,130.5,41419,140.46511999999998,1345.0,123900.0,20.39
1990-04-01,77.039,8.3,1136.0,93.9,872.0,1248.0,132.4,44015,141.86047,1332.0,126800.0,18.43
1990-05-01,77.297,8.2,1067.0,90.6,858.0,1212.0,132.0,50288,143.33105,1351.0,126800.0,18.2
1990-06-01,77.505,7.9,1108.0,88.3,846.0,1177.0,130.7,55014,139.04241000000002,1263.0,126800.0,16.7
1990-07-01,77.56,7.8,1078.0,88.2,831.0,1171.0,131.3,57179,137.2777,1295.0,117000.0,18.45
1990-08-01,77.479,8.2,1069.0,76.4,813.0,1115.0,130.2,58531,138.16689,1307.0,117000.0,27.31
1990-09-01,77.229,8.4,976.0,72.8,793.0,1110.0,129.3,53141,139.19288999999998,1312.0,117000.0,33.51
1990-10-01,76.91199999999998,8.7,925.0,63.9,766.0,1014.0,127.5,49556,139.22709,1282.0,121500.0,36.04
1990-11-01,76.381,8.2,941.0,66.0,758.0,1145.0,126.9,43137,136.99042,1248.0,121500.0,32.33
1990-12-01,75.972,8.5,861.0,65.5,745.0,969.0,126.8,41110,132.31874,1173.0,121500.0,27.28
1991-01-01,75.533,9.4,786.0,66.8,716.0,798.0,127.6,36251,131.83995,1149.0,120000.0,25.23
1991-02-01,75.249,7.9,853.0,70.4,710.0,965.0,127.2,32201,128.11218,1090.0,120000.0,20.48
1991-03-01,75.13600000000002,7.3,911.0,87.7,678.0,921.0,127.8,33193,129.95896000000002,1176.0,120000.0,19.9
1991-04-01,75.315,7.3,916.0,81.8,670.0,1001.0,129.2,39620,129.85636,1093.0,119900.0,20.83
1991-05-01,75.768,7.0,991.0,78.3,662.0,996.0,132.3,51111,129.57592,1070.0,119900.0,21.23
1991-06-01,76.253,7.0,964.0,82.1,654.0,1036.0,136.2,58800,131.53215,1093.0,119900.0,20.19
1991-07-01,76.517,7.1,973.0,82.9,652.0,1063.0,136.9,61579,130.98495,1076.0,120000.0,21.4
1991-08-01,76.594,6.8,944.0,82.0,651.0,1049.0,133.3,60061,126.45691000000001,1050.0,120000.0,21.69
1991-09-01,76.575,7.4,974.0,83.0,633.0,1015.0,133.4,52714,123.22161000000001,1216.0,120000.0,21.89
1991-10-01,76.29,6.7,991.0,78.3,630.0,1079.0,133.2,47925,121.13543,1076.0,120000.0,23.23
1991-11-01,76.03,6.2,984.0,69.1,636.0,1103.0,133.4,42118,119.17921000000001,1013.0,120000.0,22.46
1991-12-01,75.844,6.2,1061.0,68.2,633.0,1079.0,134.6,42394,116.24486999999999,1002.0,120000.0,19.5
