Date,Price Index,Mortgage Rate,Oil Price,NASDAQ,Lumber Price Index,Construction,Fed Funds Rate
1987-01-01,63.734,125.90971,18.65,384.2271428571429,108.1,1090.0,6.43
1987-02-01,64.134,124.24761000000001,17.75,411.7126315789473,109.4,1096.0,6.1
1987-03-01,64.469,123.59781000000001,18.3,432.2045454545455,110.6,1084.0,6.13
1987-04-01,64.973,134.50752,18.68,422.77142857142854,110.7,1079.0,6.37
1987-05-01,65.547,144.95212,19.44,416.634,110.7,1070.0,6.85
1987-06-01,66.218,144.15185,20.07,423.6959090909091,111.4,1060.0,6.73
1987-07-01,66.786,140.60192,21.34,429.0068181818182,112.4,1051.0,6.58
1987-08-01,67.26899999999999,141.31327,20.31,448.3847619047619,113.7,1045.0,6.73
1987-09-01,67.623,148.93981000000002,19.53,442.7985714285714,116.2,1048.0,7.22
1987-10-01,67.90100000000001,154.03557,19.86,385.05363636363643,116.1,1041.0,7.29
1987-11-01,68.09100000000001,145.69083,18.85,318.753,116.9,1042.0,6.69
1987-12-01,68.342,145.55404,17.28,314.53818181818184,117.1,1018.0,6.77
1988-01-01,68.581,142.03146,17.13,339.279,117.8,1008.0,6.83
1988-02-01,68.914,135.32832,16.8,353.578,118.4,976.0,6.58
1988-03-01,69.32300000000001,135.84131000000002,16.2,375.5430434782608,118.9,994.0,6.58
1988-04-01,69.788,139.56224,17.86,377.2355,119.2,999.0,6.87
1988-05-01,70.408,143.02326000000002,17.42,371.88095238095235,119.1,987.0,7.09
1988-06-01,71.067,143.09166000000002,16.53,385.98181818181814,119.3,980.0,7.51
1988-07-01,71.686,142.70862,15.5,391.4015,120.0,971.0,7.75
1988-08-01,72.186,144.97263999999998,15.52,379.60652173913036,118.8,967.0,8.01
1988-09-01,72.574,143.36525,14.54,382.1566666666666,118.9,958.0,8.19
1988-10-01,72.822,140.93707,13.77,385.0085714285714,118.7,953.0,8.3
1988-11-01,73.065,140.42408,14.14,372.89142857142855,118.8,960.0,8.35
1988-12-01,73.278,145.171,16.38,375.7828571428571,119.0,955.0,8.76
1989-01-01,73.617,146.78523,18.02,389.32095238095235,120.1,955.0,9.12
1989-02-01,73.968,145.62243999999998,17.94,404.0821052631578,122.0,947.0,9.36
1989-03-01,74.41,150.91655,19.48,403.9959090909091,123.2,940.0,9.85
1989-04-01,74.868,151.16279,21.07,417.13,125.2,922.0,9.84
1989-05-01,75.296,147.36661999999998,20.12,435.9931818181817,126.5,913.0,9.81
1989-06-01,75.696,139.48016,20.05,447.5827272727273,127.4,913.0,9.53
1989-07-01,76.042,135.19152,19.78,446.6965,128.9,918.0,9.24
1989-08-01,76.273,136.59371000000002,18.58,461.82782608695646,129.0,901.0,8.99
1989-09-01,76.421,138.52257,19.59,469.2785,129.0,895.0,9.02
1989-10-01,76.488,136.08071,20.1,469.6809090909091,130.9,897.0,8.84
1989-11-01,76.521,133.61833000000001,19.86,454.69714285714286,130.0,882.0,8.55
1989-12-01,76.497,133.29685,21.1,449.0145,128.5,885.0,8.45
1990-01-01,76.527,135.36252,22.86,439.35045454545457,129.0,891.0,8.23
1990-02-01,76.587,139.50068000000002,22.11,424.52421052631576,129.7,898.0,8.24
1990-03-01,76.79,140.46511999999998,20.39,436.0904545454546,130.5,885.0,8.28
1990-04-01,77.039,141.86047,18.43,428.993,132.4,872.0,8.26
1990-05-01,77.297,143.33105,18.2,442.59818181818173,132.0,858.0,8.18
1990-06-01,77.505,139.04241000000002,16.7,462.3061904761905,130.7,846.0,8.29
1990-07-01,77.56,137.2777,18.45,455.8242857142857,131.3,831.0,8.15
1990-08-01,77.479,138.16689,27.31,396.32260869565215,130.2,813.0,8.13
1990-09-01,77.229,139.19288999999998,33.51,368.56631578947366,129.3,793.0,8.2
1990-10-01,76.91199999999998,139.22709,36.04,338.01347826086965,127.5,766.0,8.11
1990-11-01,76.381,136.99042,32.33,347.6942857142857,126.9,758.0,7.81
1990-12-01,75.972,132.31874,27.28,370.2125,126.8,745.0,7.31
1991-01-01,75.533,131.83995,25.23,376.6722727272727,127.6,716.0,6.91
1991-02-01,75.249,128.11218,20.48,442.5868421052632,127.2,710.0,6.25
1991-03-01,75.13600000000002,129.95896000000002,19.9,469.101,127.8,678.0,6.12
1991-04-01,75.315,129.85636,20.83,496.3190909090909,129.2,670.0,5.91
1991-05-01,75.768,129.57592,21.23,490.9336363636364,132.3,662.0,5.78
1991-06-01,76.253,131.53215,20.19,490.375,136.2,654.0,5.9
1991-07-01,76.517,130.98495,21.4,489.3686363636364,136.9,652.0,5.82
1991-08-01,76.594,126.45691000000001,21.69,513.2509090909091,133.3,651.0,5.66
1991-09-01,76.575,123.22161000000001,21.89,520.5595,133.4,633.0,5.45
1991-10-01,76.29,121.13543,23.23,528.9239130434784,133.2,630.0,5.21
1991-11-01,76.03,119.17921000000001,22.46,536.5835,133.4,636.0,4.81
1991-12-01,75.844,116.24486999999999,19.5,544.1009523809523,134.6,633.0,4.43
1992-01-01,75.699,115.34884,18.79,615.7340909090908,137.6,639.0,4.03
1992-02-01,75.654,119.87003999999999,19.01,632.0484210526315,142.9,630.0,4.06
1992-03-01,75.813,122.22981999999999,18.92,619.5990909090908,145.7,656.0,3.98
1992-04-01,76.079,121.10123,20.23,582.7904761904762,147.5,650.0,3.73
1992-05-01,76.39699999999998,118.63201000000001,20.98,581.473,147.6,650.0,3.82
1992-06-01,76.602,116.41587,22.39,566.6586363636364,146.3,644.0,3.76
